rank,gk_sp_id,player_name,season_id,season_name,grade,matches,saves,goals,save_pct
1212,517190941,L. 흐라데츠키,517,25 PL (25 Premium Live),11,202,502,536,0.4836
1213,270215223,왈테르 베니테스,270,SPL (Spotlight),10,552,1384,1478,0.4836
1214,518234748,구성윤,518,26KLeague (26KLeague),9,1322,3189,3406,0.4835
1215,293212432,조현우,293,22 KFA (22 KFA),9,1524,3669,3920,0.4835
1216,251178005,후이 파트리시우,251,EBS (European Best Stars),8,818,1962,2097,0.4834
1217,517209981,야신 부누,517,25 PL (25 Premium Live),11,1003,2303,2462,0.4833
1218,264190941,L. 흐라데츠키,264,FA (FREE AGENT),8,4642,10909,11669,0.4832
1219,517224041,마르빈 슈뵈베,517,25 PL (25 Premium Live),11,388,943,1009,0.4831
1220,863242948,M. 코바르시,863,PTG (Path to Glory),9,570,1356,1451,0.4831
1221,251051539,에드윈 반데르사르,251,EBS (European Best Stars),9,4728,11577,12392,0.4830
1222,252163587,카스퍼 슈마이켈,252,CAP (Captain),11,535,1347,1442,0.4830
1223,260210257,에데르송,260,21 UCL (21 UEFA Champions League),8,624,1490,1596,0.4828
1224,251048940,페트르 체흐,251,EBS (European Best Stars),9,1898,4627,4958,0.4827
1225,206189117,로만 뷔어키,206,TB (Tournament Best),13,368,875,938,0.4826
1226,517215316,헤로니모 룰리,517,25 PL (25 Premium Live),9,842,2094,2245,0.4826
1227,256168435,살바토레 시리구,256,BTB (Back to Back),9,432,992,1064,0.4825
1228,217204935,조던 픽포드,217,COC (Competitor Of Continents),8,583,1412,1515,0.4824
1229,234167495,마누엘 노이어,234,LH (Loyal Heroes),9,2078,4969,5333,0.4823
1230,280177683,얀 조머,280,22 UCL (22 UEFA Champions League),8,2981,7029,7544,0.4823
1231,234167495,마누엘 노이어,234,LH (Loyal Heroes),8,4201,10026,10762,0.4823
1232,517193080,데헤아,517,25 PL (25 Premium Live),8,3124,7587,8145,0.4823
1233,225139500,최은성,225,TKL (TEAM K LEAGUE),10,205,503,540,0.4823
1234,517227127,알렉스 레미로,517,25 PL (25 Premium Live),9,300,703,755,0.4822
1235,283230869,우나이 시몬,283,HG (Home Grown),8,5960,14573,15652,0.4822
1236,827051539,에드윈 반데르사르,827,BDO (Ballon d'Or),8,3711,9053,9727,0.4821
1237,517193080,데헤아,517,25 PL (25 Premium Live),9,695,1675,1800,0.4820
1238,300269271,F. 스탄코비치,300,25 LIVE (25 LIVE),8,204,482,518,0.4820
1239,253230621,잔루이지 돈나룸마,253,BOE21 (Best of Europe 21),8,3295,8099,8705,0.4820
1240,234201325,C. 터터루샤누,234,LH (Loyal Heroes),13,295,694,746,0.4819
